VA Station Number,Address,City,State,Zip
vha_660QB,189 South 600 West,Price,UT,84501-2833
vha_660QC,5957 Fashion Point Drive,South Ogden,UT,84403-5108
vha_662,4150 Clement Street,San Francisco,CA,94121-1545
vha_662GA,3841 Brickway Boulevard,Santa Rosa,CA,95403-8226
vha_662GC,930 West Harris Street,Eureka,CA,95503-3927
vha_662GD,630 Kings Court,Ukiah,CA,95482-5003
vha_662GE,1001 Sneath Lane,San Bruno,CA,94066-2349
vha_662GF,401 3rd Street,San Francisco,CA,94107-1214
vha_662GG,15145 Lakeshore Drive,Clearlake,CA,95422-8106
vha_663,1660 South Columbian Way,Seattle,WA,98108-1532
vha_663A4,9600 Veterans Drive Southwest,Tacoma,WA,98493-0003
vha_663GA,13033 Bel-Red Road,Bellevue,WA,98005-2633
vha_663GB,9177 Ridgetop Boulevard NW,Silverdale,WA,98383-8519
vha_663GC,307 South 13th Street,Mount Vernon,WA,98274-4100
vha_663GD,151 Northeast Hampe Way,Chehalis,WA,98532-2403
vha_663GE,1114 Georgiana Street,Port Angeles,WA,98362-4212
vha_663GF,34617 11th Place South,Federal Way,WA,98003-8706
vha_663GG,12360 Lake City Way Northeast,Seattle,WA,98125-5447
vha_663HK,9600 Veterans Drive Southwest,Tacoma,WA,98493-0003
vha_664,3350 La Jolla Village Drive,San Diego,CA,92161-0002
vha_664BV,2121 San Diego Avenue,San Diego,CA,92110-2928
vha_664BY,8810 Rio San Diego Drive,San Diego,CA,92108-1698
vha_664GA,1115 South 4th Street,El Centro,CA,92243-4741
vha_664GB,1300 Rancho del Oro Drive,Oceanside,CA,92056-1729
vha_664GC,865 3rd Avenue,Chula Vista,CA,91911-1349
vha_664GD,815 East Pennsylvania Avenue,Escondido,CA,92025-3424
vha_664QA,8989 Rio San Diego Drive,San Diego,CA,92108-1605
vha_666,1898 Fort Road,Sheridan,WY,82801-8320
vha_666GB,4140 South Poplar Street,Casper,WY,82601-6104
vha_666GC,2300 Rose Lane,Riverton,WY,82501-2257
vha_666GD,1432 Rumsey Avenue,Cody,WY,82414
vha_666GE,604 Express Drive,Gillette,WY,82718-4112
vha_666GF,1401 Gateway Boulevard,Rock Springs,WY,82901-6727
vha_666QA,125 South Washington Street,Afton,WY,83110
vha_666QB,1565 South Highway 150,Evanston,WY,82930-5361
vha_666QC,510 South 15th Street,Worland,WY,82401-3538
vha_667,510 East Stoner Avenue,Shreveport,LA,71101-4243
vha_667GA,910 Realtor Road,Texarkana,AR,71854-1020
vha_667GB,1691 Bienville Drive,Monroe,LA,71201-3756
vha_667GC,1005 North Eastman Road,Longview,TX,75601-4231
